17:36:21.412 [main] INFO  com.abm.AbmPagesTest - No Stars for ABM! I had to give the one star, so it would accept my answer==Terrible company
17:36:21.462 [main] INFO  com.abm.AbmPagesTest - Very Friendly Environment==Terrible company
17:36:21.462 [main] INFO  com.abm.AbmPagesTest - ABM was a good job for me and it helped me a lot==Terrible company
17:36:21.462 [main] INFO  com.abm.AbmPagesTest - More than average travel==Terrible company
17:36:21.463 [main] INFO  com.abm.AbmPagesTest - fun workplace==Terrible company
17:36:21.463 [main] INFO  com.abm.AbmPagesTest - Poor management/poor communication==Terrible company
17:36:21.463 [main] INFO  com.abm.AbmPagesTest - I heard its a little better now==Terrible company
17:36:21.463 [main] INFO  com.abm.AbmPagesTest - Good==Terrible company
17:36:21.463 [main] INFO  com.abm.AbmPagesTest - Terrible company==Terrible company
17:36:21.464 [main] INFO  com.abm.AbmPagesTest - Not Much Incentive for Productive Staff to Stay==Terrible company
17:36:21.464 [main] INFO  com.abm.AbmPagesTest - Abm floater==Terrible company
17:36:31.023 [main] INFO  com.abm.AbmPagesTest - Good place to work==Very satisfied
17:36:31.023 [main] INFO  com.abm.AbmPagesTest - Very professional==Very satisfied
17:36:31.023 [main] INFO  com.abm.AbmPagesTest - Management and HR stabs you in the back if they don’t like you==Very satisfied
17:36:31.023 [main] INFO  com.abm.AbmPagesTest - Worse Company to Work for==Very satisfied
17:36:31.023 [main] INFO  com.abm.AbmPagesTest - Worst Experience Ever==Very satisfied
17:36:31.023 [main] INFO  com.abm.AbmPagesTest - Management is a dictatorship==Very satisfied
17:36:31.023 [main] INFO  com.abm.AbmPagesTest - Not a good company==Very satisfied
17:36:31.023 [main] INFO  com.abm.AbmPagesTest - Nothing==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - Great people to work with==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - its ok==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - I don't like abm.==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - This is a terrible company==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - Great Team==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - Nice place to work==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - Horrible company==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - Day reporter==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - terrible place to work==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - The schedule==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - What's to tell, I loved working with ABM , totally a great place to work for==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - No Stars for ABM! I had to give the one star, so it would accept my answer==Very satisfied
17:36:31.024 [main] INFO  com.abm.AbmPagesTest - Very Friendly Environment==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - I heard its a little better now==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - Very satisfied==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - You can get ahead in your lifetime with this job==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - Yes==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - This company has failed me greatly==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - Management Supervisors are a Joke!==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - Ehh, I would not really recommend that much.==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - ABM; the pros and cons.==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - Gret place!==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - If I could be blunt about this it would be that unless you get in the "clique" you will hate this job!.I am thankful for those who work with me!==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - Na==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - They suck just like metro bus company==Very satisfied
17:36:31.025 [main] INFO  com.abm.AbmPagesTest - Not a bad place to work, friendly co- workers and friendly school staff==Very satisfied
17:36:31.026 [main] INFO  com.abm.AbmPagesTest - Worst job ever==Very satisfied
17:36:31.026 [main] INFO  com.abm.AbmPagesTest - Manageable==Very satisfied
17:36:31.026 [main] INFO  com.abm.AbmPagesTest - Communication==Very satisfied
17:36:31.026 [main] INFO  com.abm.AbmPagesTest - No==Very satisfied
17:36:31.026 [main] INFO  com.abm.AbmPagesTest - N/a==Very satisfied
17:36:31.026 [main] INFO  com.abm.AbmPagesTest - Plant security==Very satisfied
17:36:31.026 [main] INFO  com.abm.AbmPagesTest - Bad==Very satisfied
17:36:31.026 [main] INFO  com.abm.AbmPagesTest - Great benefits==Very satisfied
17:36:31.026 [main] INFO  com.abm.AbmPagesTest - Poor Work Environment==Very satisfied
